Anio,Cafe,Carbon,Derivados,Ferroniquel,Petroleo,General
1991,0.00,0.00,0.00,0.00,0.00,0
1992,6.67,-23.35,-31.19,31.80,-6.07,-6.32
1993,-39.92,95.30,17.10,-61.55,2.99,-4.81
1994,57.28,14.37,20.51,102.47,5.31,16.87
1995,14.26,-26.70,-24.20,48.61,59.59,33.93
1996,-0.22,30.01,77.28,-43.06,41.50,34.19
1997,71.14,-9.47,-39.42,7.83,-4.71,3.54
1998,-18.90,1.46,-10.77,-14.39,-3.51,-7.43
1999,-19.03,43.63,93.59,12.20,67.23,49.04
2000,-17.62,26.04,125.17,66.49,21.07,22.86
2001,-32.06,74.08,14.32,-31.53,-36.07,-26.37
2002,5.60,-24.68,-3.84,35.48,-2.71,-4.11
2003,12.70,68.12,6.29,41.65,-8.81,0.91
2004,15.94,23.06,5.78,81.17,19.76,17.83
2005,55.30,68.52,29.56,6.17,29.40,36.13
2006,0.19,30.59,43.23,48.74,18.62,22.44
2007,16.19,-19.43,-5.92,102.17,18.04,8.66
2008,11.16,12.54,40.72,-62.53,64.22,47.73
2009,-3.73,22.32,-14.42,18.00,-13.23,-9.44
2010,12.87,-18.99,-12.43,60.78,53.96,33.46
2011,47.51,-15.27,59.53,-29.42,39.78,37.38
2012,-27.93,-35.87,-27.13,15.42,0.30,-5.83
2013,3.87,-9.89,-31.74,-30.18,-14.08,-14.55
2014,23.39,5.77,10.10,126.31,-35.17,-26.98
2015,3.41,-25.75,-46.55,-75.91,-40.60,-36.55
2016,-4.40,7.39,55.81,-39.50,-6.58,-0.63
2017,10.59,-11.67,-8.85,-51.50,3.86,2.22