Anio,Cafe,Carbon,Derivados,Ferroniquel,Petroleo
1991,0,0,0,0,0
1992,0.0667,-0.2335,-0.3119,0.318,-0.0607
1993,-0.3992,0.953,0.171,-0.6155,0.0299
1994,0.5728,0.1437,0.2051,1.0247,0.0531
1995,0.1426,-0.267,-0.242,0.4861,0.5959
1996,-0.0022,0.3001,0.7728,-0.4306,0.415
1997,0.7114,-0.0947,-0.3942,0.0783,-0.0471
1998,-0.189,0.0146,-0.1077,-0.1439,-0.0351
1999,-0.1903,0.4363,0.9359,0.122,0.6723
2000,-0.1762,0.2604,1.2517,0.6649,0.2107
2001,-0.3206,0.7408,0.1432,-0.3153,-0.3607
2002,0.056,-0.2468,-0.0384,0.3548,-0.0271
2003,0.127,0.6812,0.0629,0.4165,-0.0881
2004,0.1594,0.2306,0.0578,0.8117,0.1976
2005,0.553,0.6852,0.2956,0.0617,0.294
2006,0.0019,0.3059,0.4323,0.4874,0.1862
2007,0.1619,-0.1943,-0.0592,1.0217,0.1804
2008,0.1116,0.1254,0.4072,-0.6253,0.6422
2009,-0.0373,0.2232,-0.1442,0.18,-0.1323
2010,0.1287,-0.1899,-0.1243,0.6078,0.5396
2011,0.4751,-0.1527,0.5953,-0.2942,0.3978
2012,-0.2793,-0.3587,-0.2713,0.1542,0.003
2013,0.0387,-0.0989,-0.3174,-0.3018,-0.1408
2014,0.2339,0.0577,0.101,1.2631,-0.3517
2015,0.0341,-0.2575,-0.4655,-0.7591,-0.406
2016,-0.044,0.0739,0.5581,-0.395,-0.0658
2017,0.1059,-0.1167,-0.0885,-0.515,0.0386